summary,condition
"A client had complained that AVOND COSMETICS hadn’t observed the law when it processed his personal data erroneously. His identity wasn’t properly verified, which led to the erroneous matching of that client with a register of claims. As a result, the client wasn’t able to work with his bank. Moreover, a third-party utilized the client’s personal data unlawfully.",0
"The data controller had no legal basis to process data in conformity with art 6.1.b, related to the claims.",0
"The Dutch employee insurance service provider &#8211; &#8220;Uitvoeringsinstituut Werknemersverzekeringen &#8211; UWV did not use multi-factor authentication for accessing the employer web portal. Health and safety services, as well as employers, were able to view and collect data from employees, data to which normally they should not have had access to.",0
Has successfully implemented measures to control and monitor internal and external access to personal data.,1
"Follows GDPR consent guidelines, ensuring informed, explicit, and freely given user consent.",1
"The company in question, Dante International, failed to observe the right of a customer to unsubscribe from commercial communications and sent a commercial e-mail to the client in spite of that.",0
"Provides customers with clear, detailed privacy policies outlining data collection, storage, and user rights.",1
"A school attempted to introduce the use of facial recognition software to facilitate the attendance process of students. The school was ultimately fined because the means used to monitor attendance were disproportionate to the goal itself. Moreover, students and their parents couldn’t freely withdraw consent from being monitored to validate attendance. Furthermore, one case of processing activity presented elevated risks since it involved children dependent on the high-school board. Ultimately, the school didn’t observe Art. 35 of the GDPR.",0
"Complies with DPDP Act by storing sensitive data within the country, following strict access control policies.",1
"A merchant was found guilty of trying to create a customer card using an electronic identity card. In doing so, the merchant would have needed access to personal information on the electronic identity card, including photo and barcode. The fine was 10.000 euros.",0
"Follows GDPR consent guidelines, ensuring informed, explicit, and freely given user consent.",1
A nursing care organization failed to act on a request by a data subject to receive access to their data with the scope of erasing it.,0
"A merchant was found guilty of trying to create a customer card using an electronic identity card. In doing so, the merchant would have needed access to personal information on the electronic identity card, including photo and barcode. The fine was 10.000 euros.",0
"Implemented state-of-the-art encryption methods, multi-factor authentication, and access controls.",1
"Follows GDPR consent guidelines, ensuring informed, explicit, and freely given user consent.",1
"Follows GDPR consent guidelines, ensuring informed, explicit, and freely given user consent.",1
Has successfully implemented measures to control and monitor internal and external access to personal data.,1
Maintains strict policies ensuring that any data shared with third parties adheres to legal standards.,1
"Provides customers with clear, detailed privacy policies outlining data collection, storage, and user rights.",1
"The fine was issued because, in April 2019, the company hadn’t taken the necessary measures to ensure the integrity and confidentiality of information (as per Art. 5 para. 1 lit. f GDPR) when it disposed of documents that contained personal information of two clients. We should mention that the documents were simply disposed of in the general waste recycling system where they were found by a neighbor.",0
Has successfully implemented measures to control and monitor internal and external access to personal data.,1
Has successfully implemented measures to control and monitor internal and external access to personal data.,1
